Name,Genres,Popularity,URL
Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
Travis Scott,"hip hop, rap, slap house",93,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY
Kanye West,"chicago rap, hip hop, rap",89,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
21 Savage,"atl hip hop, hip hop, rap, trap",88,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft
Metro Boomin,rap,87,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp
Bruno Mars,"dance pop, pop",86,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
Lil Baby,"atl hip hop, atl trap, rap, trap",85,https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK
Imagine Dragons,"modern rock, pop, rock",85,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
Gunna,"atl hip hop, melodic rap, rap, trap",84,https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ
JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",82,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB
Yeat,"pluggnb, rage rap",80,https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx
A Boogie Wit da Hoodie,"melodic rap, rap, trap",79,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I
Tory Lanez,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",79,https://open.spotify.com/artist/2jku7tDXc6XoB6MO2hFuqg
El Alfa,"dembow, rap dominicano, reggaeton, trap latino, urbano latino",77,https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm
King Von,chicago rap,74,https://open.spotify.com/artist/6QtgPSJPSzcnn7dPZ4VINp
Key Glock,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",73,https://open.spotify.com/artist/0RESbWvOMyua0yuyVrztJ5
Tom Odell,chill pop,73,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX
Rae Sremmurd,"melodic rap, mississippi hip hop, pop rap, rap, trap",70,https://open.spotify.com/artist/7iZtZyCzp3LItcw1wtPI3D
Sons da Natureza para Relaxar,,38,https://open.spotify.com/artist/3sX5kcTf6BDmxlhS44bAPx
Camelia Roy,,24,https://open.spotify.com/artist/6ILMJdw70s6KikPRfY0wTF
Mayve Tomy,,22,https://open.spotify.com/artist/5VWYBKqJG4IPykCUVheQwf
Larry Dunckan,,22,https://open.spotify.com/artist/1HXhLqypKZGSu2Xg0G6ljV
Van Dalski,,22,https://open.spotify.com/artist/7GNKJfAbIxu3ISYJqdpJli
Romisio,,21,https://open.spotify.com/artist/28OsnwaDPJC3k44hEHX5De
Spykil,,21,https://open.spotify.com/artist/36xKgDfKv2faF6TMlDBoKh
Jenny Lino,,20,https://open.spotify.com/artist/7msyh0eugkyTXzeiLnMBmK
Harison butler,,20,https://open.spotify.com/artist/7ErakUZjZ69rrn4G7FPsco
Stenzo,,17,https://open.spotify.com/artist/3sQ2DPhE62H5aohLGHB075
Enza,,16,https://open.spotify.com/artist/4kQxmQjmgwHmBNTQ5lGd5U
Spencyl,,6,https://open.spotify.com/artist/4a01vcPaEnYuPiTdsX94BC
